Title,Artist,ArtistBio,Date,Medium,Dimensions,CreditLine,MoMANumber,Classification,Department,DateAcquired,CuratorApproved,ObjectID,URL,Width,Height
"Design for cover of ""Matisse: His Art and His Public""",Henri Matisse,"(French, 1869â€“1954)",1951,"Gouache on paper, cut-and-pasted","10 5/8 x 16 7/8"" (27.0 x 42.9 cm)",Transferred from The Museum of Modern Art Publications Department,418.1953,Drawing,Drawings,1953-06-22,Y,36802,http://www.moma.org/collection/works/36802,27,42.9
Untitled. (street in Southeast Asia),Dorothea Lange,"(American, 1895â€“1965)",1958,"Gelatin silver print, printed 1965","14 5/8 x 11 1/8"" (37.2 x 28.3 cm)",Purchase,623.1995,Photograph,Photography,1995-06-15,N,55653,,37.2,28.3
Design for the play The Golden Windows,Robert Wilson,"(American, born 1941)",1982,Pencil and crayon on paper,"8 1/4 x 12"" (21 x 30.5 cm)",Gift of R.L.B. Tobin,152.1984.13,Drawing,Drawings,1984-04-17,Y,34836,http://www.moma.org/collection/works/34836,21,30.5
"Mannequin, Los Angeles",Rachel Harrison,"(American, born 1966)",2007,Pigmented inkjet print,"16 x 12"" (40.6 x 30.5 cm)",Fund for the Twenty-First Century,220.2007.22,Photograph,Photography,2007-05-10,N,109438,,40.6,30.5
"William Christenberry and Samantha Ward. Washington, D.C., Christenberry",Lee Friedlander,"(American, born 1934)",2001,Gelatin silver print,"15 1/8 x 14 15/16"" (38.4 x 37.9 cm)",Gift of the photographer,297.2005,Photograph,Photography,2005-05-11,N,93510,,38.4,37.9
"Anele, 'Anza' Khaba, KwaThema Community Hall, Springs, Johannesburg",Zanele Muholi,"(South African, born 1972)",2011,Gelatin silver print,"30 1/8 x 19 7/8"" (76.5 x 50.5 cm)",Gift of Yvonne Dadoo de Lewis,513.2013,Photograph,Photography,2013-05-09,Y,169012,http://www.moma.org/collection/works/169012,76.5,50.5
"Aspiration, Op. 145",Thomas Wilfred,"(American, born Denmark. 1889â€“1968)",1955,Lumia composition (projected light on translucent screen),"Screen 19 1/4 x 15"" (48.9 x 38.1 cm)",Gift of Mr. and Mrs. Julius Stulman,133.1961,Painting,Painting & Sculpture,1961-05-16,N,78941,,48.9,38.1
"Untitled from A variation on 79, side to side passes on a dumball, dedicated to the memory of John Cage 1912-1992",David Ireland,"(American, born 1930)",1993,One from a portfolio of five etching and drypoints,"composition and sheet: 14 13/16 x 35 1/4"" (37.6 x 89.6 cm)",Gift of Thomas Cvikota in honor of the artist and John Cage,28.2009.4,Print,Prints & Illustrated Books,2009-01-13,Y,164492,http://www.moma.org/collection/works/164492,37.6,89.6
Numbers on Wall,Jan Dibbets,"(Dutch, born 1941)",1970,Gelatin silver print,"8 9/16 x 11 3/16"" (21.7 x 28.4 cm)",Anonymous gift,221.2014.49,Photograph,Photography,2014-05-08,N,185031,,21.7,28.4
Untitled,Louise Bourgeois,"(American, born France. 1911â€“2010)",2002,Screenprint,"sheet: 8 1/16 x 9 1/16"" (20.5 x 23 cm)",Gift of the artist,306.2009,Print,Prints & Illustrated Books,2009-04-14,Y,128361,http://www.moma.org/collection/works/128361,20.5,23
"Park Forest, Illinois",Dan Weiner,"(American, 1919â€“1959)",1953,Gelatin silver print,"9 1/16 x 13 3/8"" (23 x 34 cm)",Gift of Sandra Weiner,56.2003,Photograph,Photography,2003-04-10,N,88088,,23,34
